epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
42,60695.4,0.51101,0.33916,0.98317,0.98206,0.97963,0.99236,0.93311,0.31485,0.43553,0.81961,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294
43,62125.6,0.51215,0.33839,0.98058,0.98184,0.98011,0.99238,0.93328,0.31409,0.42621,0.81893,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
44,63552.8,0.50687,0.33553,0.97838,0.98216,0.97991,0.99238,0.93388,0.31339,0.41486,0.81849,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162
45,64985.7,0.50531,0.33608,0.97759,0.9815,0.98041,0.99238,0.93385,0.31282,0.40723,0.81803,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096
46,66401,0.507,0.33582,0.98037,0.98184,0.98048,0.99245,0.93408,0.31196,0.39705,0.81751,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
47,67825.9,0.50592,0.33521,0.97762,0.98148,0.98071,0.99249,0.9342,0.31133,0.38822,0.81678,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964
48,69255.6,0.50309,0.33184,0.97892,0.98285,0.97973,0.99246,0.93503,0.31099,0.38561,0.81668,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898
49,70685.8,0.50338,0.33227,0.97755,0.98207,0.98045,0.99245,0.93653,0.3105,0.38362,0.81646,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
50,72119.6,0.50131,0.33235,0.97395,0.98341,0.9791,0.99246,0.93641,0.30998,0.37805,0.81596,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766
51,73550.3,0.50086,0.33068,0.97118,0.98404,0.97933,0.99249,0.93647,0.30951,0.37187,0.81502,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067
52,74981.6,0.49968,0.32959,0.97249,0.98365,0.97971,0.99251,0.93672,0.30904,0.36797,0.81415,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
53,76414.4,0.49414,0.32502,0.97215,0.98286,0.98014,0.99251,0.93688,0.30871,0.35898,0.81362,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568
54,77847.8,0.49557,0.32781,0.97275,0.98354,0.97982,0.99246,0.93629,0.3085,0.35139,0.81316,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502
55,79281.5,0.49183,0.32478,0.96978,0.98321,0.98073,0.99246,0.93634,0.3081,0.34341,0.81264,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
56,80712.6,0.49388,0.32617,0.96796,0.98333,0.98071,0.99247,0.9363,0.30757,0.33596,0.81219,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637
