epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
78,13391.8,0.56716,0.37664,0.96604,0.97215,0.96228,0.98025,0.87967,0.50235,0.2867,0.88784,0.0004754,0.0004754,0.0004754
79,13504.4,0.55338,0.36819,0.95071,0.97116,0.9599,0.98238,0.88257,0.49104,0.28562,0.88528,0.0004556,0.0004556,0.0004556
80,13618,0.55743,0.36743,0.95238,0.97601,0.95739,0.98157,0.87888,0.49835,0.2796,0.88898,0.0004358,0.0004358,0.0004358
81,13731,0.55407,0.37196,0.96039,0.98065,0.95257,0.98435,0.88045,0.50278,0.28228,0.88699,0.000416,0.000416,0.000416
82,13844,0.55088,0.36675,0.95903,0.97829,0.95363,0.98178,0.87999,0.4996,0.28494,0.88745,0.0003962,0.0003962,0.0003962
83,13957.2,0.55088,0.36822,0.95606,0.97117,0.9709,0.98089,0.87573,0.50134,0.28153,0.89042,0.0003764,0.0003764,0.0003764
84,14069.5,0.54298,0.36449,0.94968,0.96358,0.97243,0.98238,0.88227,0.49727,0.27736,0.89272,0.0003566,0.0003566,0.0003566
85,14183.1,0.53655,0.36181,0.94816,0.97909,0.96491,0.98311,0.88232,0.49301,0.27451,0.88811,0.0003368,0.0003368,0.0003368
86,14296.2,0.53809,0.35716,0.95135,0.97227,0.96665,0.98178,0.8788,0.50052,0.27493,0.8932,0.000317,0.000317,0.000317
87,14408.7,0.53144,0.34944,0.94447,0.97214,0.96241,0.98193,0.87878,0.50166,0.27657,0.89241,0.0002972,0.0002972,0.0002972
88,14524.1,0.53819,0.34944,0.94828,0.96804,0.97118,0.98255,0.87986,0.49497,0.27682,0.88994,0.0002774,0.0002774,0.0002774
89,14637,0.52867,0.34665,0.94576,0.97376,0.96742,0.98166,0.88332,0.48969,0.27292,0.88793,0.0002576,0.0002576,0.0002576
90,14751.4,0.53444,0.35809,0.95213,0.97685,0.96491,0.98247,0.8843,0.49057,0.27528,0.88568,0.0002378,0.0002378,0.0002378
91,14870.6,0.42936,0.25813,0.87092,0.98073,0.95865,0.98176,0.87666,0.51065,0.28069,0.89781,0.000218,0.000218,0.000218
92,14980.1,0.42129,0.2445,0.86636,0.97576,0.95841,0.98227,0.87459,0.50256,0.27464,0.89309,0.0001982,0.0001982,0.0001982
93,15090.8,0.41731,0.23954,0.86288,0.97636,0.95739,0.97998,0.87751,0.49791,0.27717,0.8937,0.0001784,0.0001784,0.0001784
94,15201.3,0.41047,0.23667,0.85973,0.97677,0.95865,0.97985,0.87902,0.4933,0.27256,0.89066,0.0001586,0.0001586,0.0001586
95,15311.2,0.40779,0.23136,0.86042,0.97674,0.95865,0.98144,0.88207,0.49613,0.27573,0.89109,0.0001388,0.0001388,0.0001388
96,15422.5,0.40199,0.23029,0.86168,0.97832,0.9599,0.98253,0.88413,0.49296,0.27279,0.88794,0.000119,0.000119,0.000119
97,15533.3,0.39598,0.22564,0.85655,0.97347,0.96553,0.98265,0.88188,0.49244,0.27202,0.88887,9.92e-05,9.92e-05,9.92e-05
98,15644,0.39414,0.22218,0.85694,0.96817,0.97243,0.9826,0.88248,0.4967,0.26952,0.89249,7.94e-05,7.94e-05,7.94e-05
99,15754.9,0.39696,0.22514,0.85773,0.96937,0.97243,0.98301,0.88276,0.4932,0.26847,0.89199,5.96e-05,5.96e-05,5.96e-05
100,15864.7,0.39276,0.22155,0.85681,0.97715,0.96461,0.98284,0.88327,0.4925,0.26842,0.8915,3.98e-05,3.98e-05,3.98e-05
